Timesteps,EpisodeReward,PolicyLoss,ValueLoss,EntropyLoss,KL_Divergence
112,-0.8,0.0,0.0,0.0,0.0
260,-0.43,0.0,0.0,0.0,0.0
380,-0.645,0.0,0.0,0.0,0.0
512,-0.5275,0.0,0.0,0.0,0.0
600,-0.5475,0.0,0.0,0.0,0.0
684,-0.51,0.0,0.0,0.0,0.0
784,-0.725,0.0,0.0,0.0,0.0
908,-0.745,0.0,0.0,0.0,0.0
1052,-0.7625,0.0,0.0,0.0,0.0
1132,-0.7275,0.0,0.0,0.0,0.0
1228,-0.25,0.0,0.0,0.0,0.0
1380,-0.45,0.0,0.0,0.0,0.0
1508,-0.7075,0.0,0.0,0.0,0.0
1644,-0.7225,0.0,0.0,0.0,0.0
1780,-0.3825,0.0,0.0,0.0,0.0
1880,-0.5,0.0,0.0,0.0,0.0
2048,-0.82,0.0,0.0,0.0,0.0
2140,-0.63,0.0,0.0,0.0,0.0
2264,-0.715,0.0,0.0,0.0,0.0
2368,-0.695,0.0,0.0,0.0,0.0
2456,-0.36,0.0,0.0,0.0,0.0
2552,-0.68,0.0,0.0,0.0,0.0
2636,-0.2775,0.0,0.0,0.0,0.0
2780,-0.7025,0.0,0.0,0.0,0.0
2916,-0.7375,0.0,0.0,0.0,0.0
3060,-0.7425,0.0,0.0,0.0,0.0
3188,-0.64,0.0,0.0,0.0,0.0
3268,-0.375,0.0,0.0,0.0,0.0
3404,-0.645,0.0,0.0,0.0,0.0
3516,-0.6175,0.0,0.0,0.0,0.0
3640,-0.66,0.0,0.0,0.0,0.0
3720,-0.4675,0.0,0.0,0.0,0.0
3748,-0.0325,0.0,0.0,0.0,0.0
3848,-0.63,0.0,0.0,0.0,0.0
3860,-0.03,0.0,0.0,0.0,0.0
4024,-0.4975,0.0,0.0,0.0,0.0
4128,-0.7725,0.0,0.0,0.0,0.0
4244,-0.7175,0.0,0.0,0.0,0.0
4344,-0.61,0.0,0.0,0.0,0.0
4452,-0.63,0.0,0.0,0.0,0.0
4544,-0.61,0.0,0.0,0.0,0.0
4660,-0.7225,0.0,0.0,0.0,0.0
4664,-0.015,0.0,0.0,0.0,0.0
4760,-0.675,0.0,0.0,0.0,0.0
4868,-0.775,0.0,0.0,0.0,0.0
4960,-0.5875,0.0,0.0,0.0,0.0
5084,-0.7175,0.0,0.0,0.0,0.0
5092,-0.0125,0.0,0.0,0.0,0.0
5224,-0.4825,0.0,0.0,0.0,0.0
5344,-0.6325,0.0,0.0,0.0,0.0
5440,-0.71,0.0,0.0,0.0,0.0
5552,-0.785,0.0,0.0,0.0,0.0
5652,-0.7725,0.0,0.0,0.0,0.0
5736,-0.73,0.0,0.0,0.0,0.0
5840,-0.675,0.0,0.0,0.0,0.0
5948,-0.6025,0.0,0.0,0.0,0.0
6052,-0.755,0.0,0.0,0.0,0.0
6188,-0.385,0.0,0.0,0.0,0.0
6288,-0.4975,0.0,0.0,0.0,0.0
6500,-0.75,0.0,0.0,0.0,0.0
6632,-0.43,0.0,0.0,0.0,0.0
6740,-0.795,0.0,0.0,0.0,0.0
6880,-0.7525,0.0,0.0,0.0,0.0
6964,-0.38,0.0,0.0,0.0,0.0
6968,-0.0125,0.0,0.0,0.0,0.0
7084,-0.6125,0.0,0.0,0.0,0.0
7184,-0.565,0.0,0.0,0.0,0.0
7308,-0.7125,0.0,0.0,0.0,0.0
7436,-0.7375,0.0,0.0,0.0,0.0
7580,-0.71,0.0,0.0,0.0,0.0
7676,-0.7575,0.0,0.0,0.0,0.0
7780,-0.52,0.0,0.0,0.0,0.0
7936,-0.7075,0.0,0.0,0.0,0.0
8032,-0.655,0.0,0.0,0.0,0.0
8136,-0.5675,0.0,0.0,0.0,0.0
8256,-0.61,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
8384,-0.6875,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
8432,-0.115,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
8532,-0.8375,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
8656,-0.7575,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
8736,-0.4975,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
8812,-0.665,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
8928,-0.78,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
9080,-0.8025,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
9268,-0.665,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
9384,-0.5475,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
9516,-0.73,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
9644,-0.5975,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
9736,-0.145,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
9844,-0.4925,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
9876,-0.0675,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10004,-0.775,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10140,-0.7475,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10240,-0.7025,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10352,-0.3475,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10512,-0.455,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10608,-0.6675,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10732,-0.6475,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10760,-0.05,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10848,-0.7875,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
10932,-0.395,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11020,-0.695,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11148,-0.605,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11244,-0.59,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11324,-0.275,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11444,-0.26,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11572,-0.63,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11648,-0.4825,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11800,-0.405,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
11976,-0.6825,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
12140,-0.6225,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
